,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Sub-Area,Area,Mountain Region,Mountain,State,Area Latitude,Area Longitude
0,2.3,Rob's Seam,Boulder,V4,1,15.0,,Tribe Called Conquest Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813359999999996,-116.65018
1,1.0,Don's Dyno (No. 3),Boulder,V4,1,15.0,,Tribe Called Conquest Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813359999999996,-116.65018
2,4.0,Tribe Called Conquest,Boulder,V5+ R,1,20.0,,Tribe Called Conquest Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813359999999996,-116.65018
3,2.0,Conquest Direct,Boulder,V7 R,1,20.0,,Tribe Called Conquest Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813359999999996,-116.65018
4,3.6,Standing on the Head of the Dragon,Boulder,V4,1,30.0,,Dragon's Head,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813629999999996,-116.65063
5,1.0,Clawing at the Belly of the Beast,Boulder,V8,1,9.0,,Dragon's Head,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813629999999996,-116.65063
6,1.0,Treebeard,Boulder,V1,1,15.0,,Treebeard Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.813559999999995,-116.64603000000001
7,3.1,"Crouching Tiger, Hidden Dragon",Boulder,V7-,1,15.0,,Crouching Tiger,Hidden Dragon Boulder,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.8128,-116.65002
8,3.8,White Flight,Boulder,V3- PG13,1,20.0,,White Flight Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81366,-116.64963
9,3.7,Shades of the Oldschool,Boulder,V2 R,1,25.0,,Green Tea Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81393,-116.64931999999999
10,3.0,Green Tea Arête,Boulder,V4,1,18.0,,Green Tea Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81393,-116.64931999999999
12,4.0,Solitude (stand),Boulder,V7,1,13.0,,Lone Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81349,-116.64906
13,3.0,Crack-Mantel-Sap,Boulder,V9 R,1,20.0,,Lone Boulder,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81349,-116.64906
14,3.0,Solitude sit,Boulder,V10,1,13.0,,Wave Boulders,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81349,-116.64906
15,1.0,Campus Problem,Boulder,V1-2,1,8.0,,Wave Boulders,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81317,-116.6498
16,1.5,Unnamed Arete,Boulder,V3,1,10.0,,Wave Boulders,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81317,-116.6498
17,2.0,Nada III,Boulder,V3,1,10.0,,Wave Boulders,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81317,-116.6498
18,2.5,The Wave,Boulder,V5,1,9.0,,Wave Boulders,,Conquest Ridge,The Tramway,San Jacinto Mountains,California,33.81317,-116.6498
